T_amb_C,D_eff_lower,D_eff_nominal,D_eff_upper,D_TF_high_cal,D_TF_low_cal
-36.5000000000,0.0003303397,0.0003477260,0.0003651123,0.0003531109,0.0003400644
-36.4000000000,0.0003301949,0.0003475736,0.0003649523,0.0003529597,0.0003399126
-36.3000000000,0.0003300501,0.0003474212,0.0003647923,0.0003528085,0.0003397608
-36.2000000000,0.0003299054,0.0003472688,0.0003646322,0.0003526573,0.0003396090
-36.1000000000,0.0003297606,0.0003471164,0.0003644722,0.0003525061,0.0003394572
-36.0000000000,0.0003296158,0.0003469640,0.0003643122,0.0003523548,0.0003393054
-35.9000000000,0.0003294710,0.0003468116,0.0003641522,0.0003522036,0.0003391536
-35.8000000000,0.0003293262,0.0003466592,0.0003639922,0.0003520524,0.0003390018
-35.7000000000,0.0003291815,0.0003465068,0.0003638321,0.0003519011,0.0003388500
-35.6000000000,0.0003290367,0.0003463544,0.0003636721,0.0003517499,0.0003386981
-35.5000000000,0.0003288919,0.0003462020,0.0003635121,0.0003515987,0.0003385463
-35.4000000000,0.0003287471,0.0003460496,0.0003633521,0.0003514474,0.0003383945
-35.3000000000,0.0003286023,0.0003458972,0.0003631921,0.0003512962,0.0003382427
-35.2000000000,0.0003284576,0.0003457448,0.0003630320,0.0003511450,0.0003380909
-35.1000000000,0.0003283128,0.0003455924,0.0003628720,0.0003509937,0.0003379390
-35.0000000000,0.0003281680,0.0003454400,0.0003627120,0.0003508425,0.0003377872
-34.9000000000,0.0003280232,0.0003452876,0.0003625520,0.0003506912,0.0003376354
-34.8000000000,0.0003278784,0.0003451352,0.0003623920,0.0003505400,0.0003374835
-34.7000000000,0.0003277337,0.0003449828,0.0003622319,0.0003503887,0.0003373317
-34.6000000000,0.0003275889,0.0003448304,0.0003620719,0.0003502375,0.0003371799
-34.5000000000,0.0003274441,0.0003446780,0.0003619119,0.0003500862,0.0003370280
-34.4000000000,0.0003272993,0.0003445256,0.0003617519,0.0003499350,0.0003368762
-34.3000000000,0.0003271545,0.0003443732,0.0003615919,0.0003497837,0.0003367244
-34.2000000000,0.0003270098,0.0003442208,0.0003614318,0.0003496325,0.0003365725
-34.1000000000,0.0003268650,0.0003440684,0.0003612718,0.0003494812,0.0003364207
-34.0000000000,0.0003267202,0.0003439160,0.0003611118,0.0003493300,0.0003362688
-33.9000000000,0.0003265754,0.0003437636,0.0003609518,0.0003491787,0.0003361170
-33.8000000000,0.0003264306,0.0003436112,0.0003607918,0.0003490274,0.0003359651
-33.7000000000,0.0003262859,0.0003434588,0.0003606317,0.0003488762,0.0003358133
-33.6000000000,0.0003261411,0.0003433064,0.0003604717,0.0003487249,0.0003356614
-33.5000000000,0.0003259963,0.0003431540,0.0003603117,0.0003485736,0.0003355096
-33.4000000000,0.0003258515,0.0003430016,0.0003601517,0.0003484224,0.0003353577
-33.3000000000,0.0003257067,0.0003428492,0.0003599917,0.0003482711,0.0003352058
-33.2000000000,0.0003255620,0.0003426968,0.0003598316,0.0003481198,0.0003350540
-33.1000000000,0.0003254172,0.0003425444,0.0003596716,0.0003479686,0.0003349021
-33.0000000000,0.0003252724,0.0003423920,0.0003595116,0.0003478173,0.0003347502
-32.9000000000,0.0003251276,0.0003422396,0.0003593516,0.0003476660,0.0003345984
-32.8000000000,0.0003249828,0.0003420872,0.0003591916,0.0003475147,0.0003344465
-32.7000000000,0.0003248381,0.0003419348,0.0003590315,0.0003473634,0.0003342946
-32.6000000000,0.0003246933,0.0003417824,0.0003588715,0.0003472122,0.0003341427
-32.5000000000,0.0003245485,0.0003416300,0.0003587115,0.0003471375,0.0003340677
-32.4000000000,0.0003244037,0.0003414776,0.0003585515,0.0003469861,0.0003339157
-32.3000000000,0.0003242589,0.0003413252,0.0003583915,0.0003468346,0.0003337637
-32.2000000000,0.0003241142,0.0003411728,0.0003582314,0.0003466832,0.0003336117
-32.1000000000,0.0003239694,0.0003410204,0.0003580714,0.0003465318,0.0003334596
-32.0000000000,0.0003238246,0.0003408680,0.0003579114,0.0003463804,0.0003333076
-31.9000000000,0.0003236798,0.0003407156,0.0003577514,0.0003462289,0.0003331556
-31.8000000000,0.0003235350,0.0003405632,0.0003575914,0.0003460775,0.0003330036
-31.7000000000,0.0003233903,0.0003404108,0.0003574313,0.0003459261,0.0003328515
-31.6000000000,0.0003232455,0.0003402584,0.0003572713,0.0003457746,0.0003326995
-31.5000000000,0.0003231007,0.0003401060,0.0003571113,0.0003456232,0.0003325475
-31.4000000000,0.0003229559,0.0003399536,0.0003569513,0.0003454718,0.0003323954
-31.3000000000,0.0003228111,0.0003398012,0.0003567913,0.0003453203,0.0003322434
-31.2000000000,0.0003226664,0.0003396488,0.0003566312,0.0003451689,0.0003320913
-31.1000000000,0.0003225216,0.0003394964,0.0003564712,0.0003450175,0.0003319393
-31.0000000000,0.0003223768,0.0003393440,0.0003563112,0.0003448660,0.0003317873
-30.9000000000,0.0003222320,0.0003391916,0.0003561512,0.0003447146,0.0003316352
-30.8000000000,0.0003220872,0.0003390392,0.0003559912,0.0003445631,0.0003314832
-30.7000000000,0.0003219425,0.0003388868,0.0003558311,0.0003444117,0.0003313311
-30.6000000000,0.0003217977,0.0003387344,0.0003556711,0.0003442602,0.0003311791
-30.5000000000,0.0003216529,0.0003385820,0.0003555111,0.0003441088,0.0003310270
-30.4000000000,0.0003215081,0.0003384296,0.0003553511,0.0003439573,0.0003308749
-30.3000000000,0.0003213633,0.0003382772,0.0003551911,0.0003438059,0.0003307229
-30.2000000000,0.0003212186,0.0003381248,0.0003550310,0.0003436544,0.0003305708
-30.1000000000,0.0003210738,0.0003379724,0.0003548710,0.0003435030,0.0003304188
-30.0000000000,0.0003209290,0.0003378200,0.0003547110,0.0003433515,0.0003302667
